t ax ay az wx wy wz
2.7600 0.1555105 8.8070119 -0.5404724 0.7474233 -0.3932771 -1.8487917
2.7800 0.4132197 8.8090493 -0.5311043 0.7091764 -0.4001522 -1.8371029
2.8000 0.6700821 8.8118175 -0.5216011 0.6702933 -0.4071403 -1.8245520
2.8200 0.9253236 8.8152787 -0.5120866 0.6308156 -0.4142360 -1.8111468
2.8400 1.1779957 8.8194294 -0.5024262 0.5907858 -0.4214339 -1.7968963
2.8600 1.4271686 8.8242600 -0.4925522 0.5502472 -0.4287284 -1.7818106
2.8800 1.6722349 8.8297079 -0.4827323 0.5092441 -0.4361135 -1.7659010
2.9000 1.9129094 8.8356963 -0.4730444 0.4678212 -0.4435831 -1.7491798
2.9200 2.1474472 8.8423213 -0.4630093 0.4260239 -0.4511309 -1.7316601
2.9400 2.3766964 8.8493542 -0.4534510 0.3838984 -0.4587504 -1.7133565
2.9600 2.5989361 8.8568940 -0.4438653 0.3414911 -0.4664349 -1.6942844
2.9800 2.8136785 8.8648957 -0.4342409 0.2988489 -0.4741775 -1.6744602
3.0000 3.0207734 8.8732640 -0.4248961 0.2560187 -0.4819713 -1.6539014
3.0200 3.2195443 8.8819853 -0.4156984 0.2130481 -0.4898090 -1.6326264
3.0400 3.4098805 8.8909724 -0.4068967 0.1699843 -0.4976833 -1.6106547
3.0600 3.5900720 8.9003351 -0.3979659 0.1268750 -0.5055867 -1.5880065
3.0800 3.7615134 8.9098331 -0.3895803 0.0837674 -0.5135118 -1.5647032
3.1000 3.9224337 8.9195813 -0.3813067 0.0407089 -0.5214506 -1.5407669
3.1200 4.0729967 8.9294862 -0.3733629 -0.0022534 -0.5293956 -1.5162206
3.1400 4.2133888 8.9394682 -0.3658132 -0.0450729 -0.5373387 -1.4910880
3.1600 4.3420861 8.9496217 -0.3583559 -0.0877032 -0.5452720 -1.4653938
3.1800 4.4604868 8.9597418 -0.3515175 -0.1300984 -0.5531874 -1.4391634
3.2000 4.5669329 8.9699579 -0.3447714 -0.1722133 -0.5610768 -1.4124228
3.2200 4.6624201 8.9801171 -0.3385333 -0.2140031 -0.5689320 -1.3851988
3.2400 4.7460735 8.9902681 -0.3326156 -0.2554238 -0.5767448 -1.3575187
3.2600 4.8181260 9.0003584 -0.3270418 -0.2964324 -0.5845070 -1.3294106
3.2800 4.8787661 9.0103416 -0.3218778 -0.3369865 -0.5922102 -1.3009030
3.3000 4.9277268 9.0202116 -0.3172035 -0.3770447 -0.5998461 -1.2720249
