t lat lon h Vxg Vyg Vzg pitch roll tHdg
2.1000 37.6169724 -122.3660837 31.9443463 13.4653120 -0.1437042 -23.6928905 6.2989117 3.1627760 294.8195509
2.1200 37.6169748 -122.3660891 31.9410445 13.4279576 -0.1650897 -23.6124922 6.2631353 3.1922527 294.8226325
2.1400 37.6169772 -122.3660944 31.9373018 13.3891757 -0.1871328 -23.5295541 6.2270757 3.2216379 294.8257246
2.1600 37.6169796 -122.3660997 31.9331063 13.3491745 -0.2097776 -23.4444869 6.1907449 3.2509085 294.8288304
2.1800 37.6169820 -122.3661050 31.9284469 13.3081638 -0.2329686 -23.3576872 6.1541550 3.2800414 294.8319528
2.2000 37.6169844 -122.3661103 31.9233139 13.2663484 -0.2566508 -23.2695566 6.1173189 3.3090133 294.8350952
2.2200 37.6169868 -122.3661155 31.9176985 13.2239303 -0.2807697 -23.1804793 6.0802493 3.3378008 294.8382607
2.2400 37.6169892 -122.3661208 31.9115931 13.1811092 -0.3052718 -23.0908345 6.0429599 3.3663803 294.8414530
2.2600 37.6169915 -122.3661260 31.9049910 13.1380778 -0.3301043 -23.0009882 6.0054641 3.3947281 294.8446756
2.2800 37.6169939 -122.3661312 31.8978867 13.0950254 -0.3552154 -22.9113156 5.9677760 3.4228206 294.8479322
2.3000 37.6169962 -122.3661364 31.8902756 13.0521371 -0.3805544 -22.8221524 5.9299101 3.4506341 294.8512266
2.3200 37.6169986 -122.3661415 31.8821541 13.0095913 -0.4060717 -22.7338422 5.8918808 3.4781450 294.8545629
2.3400 37.6170009 -122.3661466 31.8735198 12.9675618 -0.4317191 -22.6467207 5.8537033 3.5053296 294.8579449
2.3600 37.6170032 -122.3661518 31.8643708 12.9262154 -0.4574496 -22.5610921 5.8153926 3.5321645 294.8613769
2.3800 37.6170055 -122.3661569 31.8547064 12.8857118 -0.4832179 -22.4772654 5.7769643 3.5586264 294.8648631
2.4000 37.6170078 -122.3661619 31.8445268 12.8462056 -0.5089800 -22.3955275 5.7384341 3.5846921 294.8684077
2.4200 37.6170101 -122.3661670 31.8338329 12.8078446 -0.5346936 -22.3161563 5.6998180 3.6103387 294.8720150
2.4400 37.6170124 -122.3661720 31.8226266 12.7707667 -0.5603180 -22.2394033 5.6611322 3.6355434 294.8756896
2.4600 37.6170147 -122.3661771 31.8109103 12.7351049 -0.5858144 -22.1655335 5.6223930 3.6602840 294.8794359
2.4800 37.6170170 -122.3661821 31.7986874 12.7009843 -0.6111456 -22.0947582 5.5836172 3.6845384 294.8832583
2.5000 37.6170193 -122.3661871 31.7859619 12.6685200 -0.6362763 -22.0273031 5.5448214 3.7082847 294.8871615
2.5200 37.6170215 -122.3661921 31.7727384 12.6378225 -0.6611731 -21.9633619 5.5060225 3.7315018 294.8911501
2.5400 37.6170238 -122.3661970 31.7590223 12.6089911 -0.6858045 -21.9031335 5.4672377 3.7541687 294.8952285
2.5600 37.6170261 -122.3662020 31.7448195 12.5821185 -0.7101410 -21.8467633 5.4284841 3.7762650 294.8994015
2.5800 37.6170283 -122.3662069 31.7301364 12.5572894 -0.7341549 -21.7944237 5.3897789 3.7977708 294.9036737
2.6000 37.6170306 -122.3662118 31.7149800 12.5345784 -0.7578208 -21.7462383 5.3511395 3.8186667 294.9080497
2.6200 37.6170328 -122.3662168 31.6993577 12.5140536 -0.7811149 -21.7023304 5.3125834 3.8389338 294.9125340
2.6400 37.6170351 -122.3662217 31.6832774 12.4957733 -0.8040158 -21.6628065 5.2741280 3.8585540 294.9171313
2.6600 37.6170373 -122.3662266 31.6667473 12.4797897 -0.8265039 -21.6277498 5.2357907 3.8775095 294.9218461
2.6800 37.6170395 -122.3662315 31.6497760 12.4661429 -0.8485615 -21.5972316 5.1975891 3.8957834 294.9266829
2.7000 37.6170418 -122.3662364 31.6323726 12.4548682 -0.8701732 -21.5713091 5.1595405 3.9133594 294.9316461
2.7200 37.6170440 -122.3662413 31.6145461 12.4459916 -0.8913253 -21.5500221 5.1216625 3.9302220 294.9367401
2.7400 37.6170462 -122.3662461 31.5963060 12.4395293 -0.9120061 -21.5333926 5.0839723 3.9463562 294.9419693
2.7600 37.6170485 -122.3662510 31.5776618 12.4354923 -0.9322060 -21.5214344 5.0464872 3.9617480 294.9473379
2.7800 37.6170507 -122.3662559 31.5586235 12.4338823 -0.9519171 -21.5141339 5.0092245 3.9763839 294.9528500
2.8000 37.6170529 -122.3662608 31.5392008 12.4346937 -0.9711334 -21.5114736 4.9722011 3.9902516 294.9585097
